names,date_x,score,genre,overview,orig_title,status,orig_lang,budget_x,revenue,country
Winnie the Pooh: Blood and Honey,02/14/2023 ,58.0,"Horror, Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",Winnie the Pooh: Blood and Honey, Released, English,100000.0,3200000.0,AU
The Exorcist,11/02/2022 ,55.0,Horror,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.", La Exorcista, Released,Spanish,12000000.0,428214478.0,MX
Murder Mystery 2,03/31/2023 ,65.0,"Comedy, Mystery, Action","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",Murder Mystery 2, Released, English,43800000.0,489543087.4,AU
Black Panther: Wakanda Forever,11/10/2022 ,73.0,"Action, Adventure, Science Fiction","Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",Black Panther: Wakanda Forever, Released, English,250000000.0,854041058.0,AU
The Pope's Exorcist,04/06/2023 ,72.0,"Horror, Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",The Pope's Exorcist, Released, English,92000000.0,462216471.8,AU
Prizefighter: The Life of Jem Belcher,07/22/2022 ,62.0,"Drama, History","At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.",Prizefighter: The Life of Jem Belcher, Released, English,77600000.0,562112551.0,GB
Knock at the Cabin,02/02/2023 ,64.0,"Thriller, Mystery, Horror, Fantasy","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",Knock at the Cabin, Released, English,20000000.0,54629497.0,AU
The Devil Conspiracy,01/13/2023 ,65.0,"Horror, Thriller","The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.",The Devil Conspiracy, Released, English,54060000.0,492646395.4,US
Cazadora,01/19/2023 ,57.0,Thriller,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.",Cazadora, Released,Spanish,110400000.0,318117812.6,CL
Gold Run,12/15/2022 ,65.0,"War, Action, Adventure, Thriller","Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.", Gulltransporten, Released, Norwegian,123500000.0,420430064.8,NO
The Magician's Elephant,03/17/2023 ,73.0,"Animation, Adventure, Family, Fantasy","Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.",The Magician's Elephant, Released, English,82600000.0,473097256.6,AU
Plane,01/27/2023 ,69.0,"Action, Adventure, Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",Plane, Released, English,25000000.0,51000000.0,GB
The Passion of the Christ,02/25/2004 ,74.0,Drama,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,The Passion of the Christ, Released, English,25000000.0,622313635.0,AU
Batman: The Doom That Came to Gotham,03/28/2023 ,64.0,"Animation, Fantasy, Horror, Action, Mystery","Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.",Batman: The Doom That Came to Gotham, Released, English,145760000.0,321934831.2,US
Shazam! Fury of the Gods,03/16/2023 ,69.0,"Action, Comedy, Fantasy","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",Shazam! Fury of the Gods, Released, English,125000000.0,132107025.0,AU
Consecration,02/10/2023 ,65.0,"Horror, Thriller","After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.",Consecration, Released, English,54060000.0,492646395.4,US
Shark Side of the Moon,08/12/2022 ,53.0,"Action, Science Fiction, Thriller, Horror","Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.",Shark Side of the Moon, Released, English,10000.0,17887093.8,US
Black Adam,10/20/2022 ,71.0,"Action, Adventure, Science Fiction, Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods - and imprisoned just as quickly - Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Black Adam, Released, English,200000000.0,391261706.0,AU
Money Shot: The Pornhub Story,03/15/2023 ,58.0,Documentary,"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub.",Money Shot: The Pornhub Story, Released, English,68500000.0,280052393.0,US
M3GAN,01/12/2023 ,74.0,"Science Fiction, Horror, Comedy","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",M3GAN, Released, English,12000000.0,167643991.0,AU
Ant-Man and the Wasp: Quantumania,02/16/2023 ,63.0,"Science Fiction, Adventure, Action","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Ant-Man and the Wasp: Quantumania, Released, English,200000000.0,466001332.0,AU
Sayen,03/03/2023 ,62.0,"Thriller, Action","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.",Sayen, Released,Spanish,73800000.0,370426090.8,CL
Die Hart,02/24/2023 ,62.0,"Action, Comedy, Thriller","Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.",Die Hart, Released, English,113000000.0,369995579.2,US
13 Exorcisms,11/04/2022 ,55.0,"Drama, Horror","After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.", 13 exorcismos, Released,Spanish,2480000.0,1891519.0,ES
H.P. Lovecraft's Witch House,06/29/2022 ,60.0,Horror,"Determined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.",H.P. Lovecraft's Witch House, Released, English,146740000.0,301123555.2,US
John Wick: Chapter 2,05/18/2017 ,73.0,"Action, Thriller, Crime","John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",John Wick: Chapter 2, Released, English,40000000.0,171539887.0,AU
Sick,09/24/2022 ,63.0,"Horror, Thriller","In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone  -  or so they think.",Sick, Released, English,81800000.0,408307377.8,US
Black Warrant,03/01/2023 ,54.0,"Action, Thriller",A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,Black Warrant, Released, English,116000000.0,378399280.8,AU
Shotgun Wedding,01/26/2023 ,63.0,"Action, Comedy, Romance","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones - if they don’t kill each other first.",Shotgun Wedding, Released, English,16050000.0,4495365.0,AU
John Wick: Chapter 3 - Parabellum,05/16/2019 ,74.0,"Action, Thriller, Crime","Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",John Wick: Chapter 3 - Parabellum, Released, English,55000000.0,326709727.0,AU
Legion of Super-Heroes,02/07/2023 ,63.0,"Animation, Action, Science Fiction","Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.",Legion of Super-Heroes, Released, English,113400000.0,778431865.2,US
Fall,09/22/2022 ,73.0,"Thriller, Drama","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",Fall, Released, English,3000000.0,16120263.0,AU
Lord of the Streets,04/22/2022 ,52.0,Action,"When Jason Dyson refuses to make his prized fighter throw an MMA match, a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.",Lord of the Streets, Released, English,1000000.0,22790427.2,US
Little Dixie,02/03/2023 ,60.0,"Thriller, Action, Drama, Crime","Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie.",Little Dixie, Released, English,141340000.0,748525217.4,US
The Whale,02/02/2023 ,81.0,Drama,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,The Whale, Released, English,3000000.0,36752010.0,AU
Prey for the Devil,10/28/2022 ,71.0,"Horror, Thriller","In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",Prey for the Devil, Released, English,27240305.0,37655699.0,US
Bandit,09/23/2022 ,62.0,"Crime, Drama, Thriller","After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.",Bandit, Released, English,115000000.0,484414431.0,US
Roald Dahl's Matilda the Musical,12/08/2022 ,68.0,"Family, Comedy, Fantasy","An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",Roald Dahl's Matilda the Musical, Released, English,25000000.0,13276499.0,AU
The Simpsons Meet the Bocellis in Feliz Navidad,12/15/2022 ,52.0,"Animation, Family, Comedy","This Christmas, Homer surprises Marge with the ultimate gift: an unforgettable performance from Italian opera superstar Andrea Bocelli and his children Matteo and Virginia.",The Simpsons Meet the Bocellis in Feliz Navidad, Released, English,97200000.0,425726914.4,US
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,02/25/2021 ,83.0,"Animation, Action, Adventure, Fantasy, Thriller","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!", 劇場版「鬼滅の刃」無限列車編, Released, Japanese,15800000.0,503063688.0,AU
Huesera: The Bone Woman,02/23/2023 ,58.0,"Drama, Horror, Mystery","Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.", Huesera, Released,Spanish,135000000.0,670271186.2,MX
The Last Heretic,11/09/2022 ,55.0,"Thriller, Horror","Juan Conte is a world-renowned spokesman of the new atheism. After suffering a heart attack, he receives a transplant and a change in his personal life begins, opening up to the possibility of being in a couple for the first time. Juan will go on a journey of horror and pain, in which his vision of reality will be put to the test.", El último hereje, Released,Spanish,122400000.0,344127931.8,AR
JUNG_E,01/20/2023 ,63.0,"Science Fiction, Action, Adventure","On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.", 정이, Released, Korean,66240000.0,580188584.0,KR
A Man Called Otto,01/01/2023 ,79.0,"Comedy, Drama","When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",A Man Called Otto, Released, English,50000000.0,108973274.0,AU
Champions,03/09/2023 ,68.0,Comedy,A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,Champions, Released, English,51880004.0,9263009.0,AU
Dungeons & Dragons: Honor Among Thieves,03/30/2023 ,76.0,"Adventure, Fantasy, Comedy","A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",Dungeons & Dragons: Honor Among Thieves, Released, English,150000000.0,158598670.0,AU
Troll,12/01/2022 ,68.0,"Fantasy, Action, Adventure, Thriller","Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",Troll, Released, Norwegian,121400000.0,977795653.4,AU
Sonic the Hedgehog 2,03/31/2022 ,76.0,"Action, Adventure, Family, Comedy","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",Sonic the Hedgehog 2, Released, English,90000000.0,405421518.0,AU
A Bronx Tale,05/20/1994 ,78.0,"Drama, Crime","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",A Bronx Tale, Released, English,10000000.0,17287898.0,AU
Big Trip 2: Special Delivery,01/19/2023 ,65.0,"Animation, Family, Adventure, Comedy","It has been a year since Mic Mic and Oscar returned from their incredible adventure. And now, after a diabolical plan by Vulture to sabotage the delivery of the Grizzly cub to his opponent in the American presidential elections, Mic Mic, Oscar, Panda teenager and Stork set off on another great adventure as they ride a zeppelin to return little Grizzly to its rightful parents and save the American elections and the whole continent from an erupting volcano.", Большое путешествие. Специальная доставка, Released, Russian,95200000.0,416119951.4,AU
Encanto at the Hollywood Bowl,12/28/2022 ,73.0,Music,"A taped performance of the Encanto Live-to-Film Concert Experience at the Hollywood Bowl. The original cast puts on a miracle of a concert as they sing the favorite songs, accompanied by a full orchestra and 50 person ensemble, and the Hollywood Bowl transforms into Casita!",Encanto at the Hollywood Bowl, Released, English,127000000.0,533207056.8,US
The Forbidden Legend: Sex & Chopsticks 2,03/04/2009 ,60.0,"Comedy, Drama, Romance","Rich and powerful Simon Qing has been schooled in the ways of sex by his virile father, but is still a virgin. That is, until he meets his first love Violetta who has fun with him all over his father’s estate. Their love does not last, so Simon embarks on a journey. Along the way he meets the comely nun Moon whom Simon deflowers and then marries. He then becomes enamored of Golden Lotus but she is married to dwarf Wu Da-Lang.", 金瓶梅2 愛的奴隸, Released, Cantonese,89600000.0,318375960.2,HK
Top Gun: Maverick,05/26/2022 ,83.0,"Action, Drama","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Top Gun: Maverick, Released, English,170000000.0,1481369482.0,AU
On a Wing and a Prayer,04/06/2023 ,65.0,"Drama, Thriller","After their pilot dies unexpectedly mid-flight, passenger Doug White must safely land a plane and save his entire family from insurmountable danger.",On a Wing and a Prayer, Released, English,147400000.0,445526734.8,US
Sniper: The White Raven,08/24/2022 ,76.0,"War, Drama","Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.", Снайпер. Білий ворон, Released, Ukrainian,1000000.0,102414815.2,UA
The Enforcer,12/01/2022 ,74.0,"Action, Crime, Drama, Thriller","A noir thriller set in Miami, the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking, putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.",The Enforcer, Released, English,1261569.0,102023958.0,AU
Diabolik - Ginko Attacks,11/17/2022 ,57.0,"Crime, Action","Diabolik nearly gets caught in Inspector Ginko's latest trap, leaving his partner in crime Eva Kant behind in the escape. Furious, Eva offers Ginko her help in capturing the King of Terror, but the former has to face the return of an old flame of his.", Diabolik - Ginko all'attacco!, Released, Italian,21680000.0,1228459.0,IT
Scream VI,03/09/2023 ,73.0,"Horror, Mystery, Thriller","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",Scream VI, Released, English,35000000.0,167273149.0,AU
Avatar,12/17/2009 ,76.0,"Action, Adventure, Fantasy, Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Avatar, Released, English,237000000.0,2923706026.0,AU
Breaking,08/26/2022 ,67.0,"Crime, Drama, Thriller","Desperate for money and running out of options, Marine veteran Brian Brown-Easley holds several people hostage inside a bank, setting the stage for a tense confrontation with police.",Breaking, Released, English,72000000.0,318039059.2,US
Tetris,03/31/2023 ,78.0,"Thriller, History, Drama","In 1988, American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the Iron Curtain.",Tetris, Released, English,172000000.0,594334899.0,GB
65,03/09/2023 ,63.0,"Thriller, Science Fiction, Action","After a catastrophic crash on an unknown planet, pilot Mills quickly discovers he's actually stranded on Earth…65 million years ago. Now, with only one chance at rescue, Mills and the only other survivor, Koa, must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.",65, Released, English,45000000.0,56072012.0,AU
Thor: Love and Thunder,07/06/2022 ,66.0,"Fantasy, Action, Comedy","After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",Thor: Love and Thunder, Released, English,250000000.0,760928081.0,AU
Arctic Void,01/14/2022 ,47.0,"Science Fiction, Thriller","When the power mysteriously fails, and almost everyone vanishes from a small tourist vessel in the Arctic, fear becomes the master for the three who remain. Forced ashore, the men deteriorate in body and mind until a dark truth emerges that compels them to ally or perish.",Arctic Void, Released, English,147200000.0,872776677.4,US
Terrifier 2,10/28/2022 ,69.0,Horror,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Terrifier 2, Released, English,250000.0,12964783.0,AU
John Wick,11/26/2014 ,74.0,"Action, Thriller",Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,John Wick, Released, English,30000000.0,75958800.0,AU
Spider-Man: No Way Home,12/16/2021 ,80.0,"Action, Adventure, Science Fiction","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",Spider-Man: No Way Home, Released, English,200000000.0,1910048245.0,AU
R.I.P.D. 2: Rise of the Damned,11/15/2022 ,66.0,"Action, Comedy, Fantasy, Crime","When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",R.I.P.D. 2: Rise of the Damned, Released, English,52000000.0,539054106.6,US
Dolphin Boy,04/07/2022 ,65.0,"Animation, Adventure, Fantasy, Comedy","When a plane crashes at sea, dolphins rescue a little boy and raise him as family. He lives a carefree life beneath the waves until an evil monster seizes power over the underwater world. The boy is banished to dry land, where a kind-hearted captain takes him in. With the captain’s help, the boy sets out on a journey to solve the mystery of his true identity.", Мальчик-дельфин, Released, Russian,115000000.0,489779661.0,RU
Guillermo del Toro's Pinocchio,11/24/2022 ,82.0,"Animation, Fantasy, Drama, Music","During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",Guillermo del Toro's Pinocchio, Released, English,35000000.0,81567666.2,AU
A Frozen Rooster,12/14/2022 ,79.0,"Animation, Adventure, Comedy, Family","Follow the adventures of Toto and his family, who will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to fulfill the promise, they will have to overcome some obstacles that will teach them how important teamwork is.", Huevitos Congelados, Released,Spanish,113880000.0,604874932.2,MX
Dragon Ball Super: Super Hero,08/18/2022 ,79.0,"Animation, Science Fiction, Action","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.", ドラゴンボール超 スーパーヒーロー, Released, Japanese,43602530.2,86562140.0,AU
Nocebo,11/04/2022 ,63.0,"Mystery, Thriller, Horror","A fashion designer hires a nanny from the Philippines to assist her in caring for her family while she is suffering from what she believes is a tick-related illness. The nanny uses traditional Filipino folk healing techniques to help her, but in the process of doing so, she uncovers a horrifying truth about why she is there and why her employer is actually sick.",Nocebo, Released, English,112000000.0,586323916.4,US
Prey,08/05/2022 ,78.0,"Thriller, Action, Science Fiction","When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",Prey, Released, English,65000000.0,0.0,AU
Hex,11/01/2022 ,61.0,"Action, Horror, Thriller","Following a mysterious disappearance on a jump, a group of skydivers experiences paranormal occurrences that leave them fighting for their lives.",Hex, Released, English,117480000.0,457839055.6,US
Medieval,09/09/2022 ,72.0,"Action, Drama, History",The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,Medieval, Released, English,23000000.0,4311284.0,US
Barbie: Skipper and the Big Babysitting Adventure,03/16/2023 ,73.0,"Family, Animation","Barbie’s younger sister Skipper is a babysitting expert, but when her babysitting business hits a snag, she takes a summer job at a water park and tries out different jobs with some new friends. A birthday party at the park goes awry and Skipper’s babysitting skills save the day! The success renews Skipper’s confidence in her babysitting business, and she and her new friends start a babysitting squad.",Barbie: Skipper and the Big Babysitting Adventure, Released, English,134400000.0,716009340.2,US
Super Mario Bros.,06/10/1993 ,43.0,"Action, Adventure, Comedy, Family, Science Fiction","Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",Super Mario Bros., Released, English,42000000.0,20844907.0,AU
Transfusion,01/05/2023 ,64.0,"Crime, Thriller, Drama","Ryan Logan, a former Special Forces operative, is battling to cope with life after the loss of his wife.  He is thrusted into the criminal underworld to keep his only son from being taken from him.",Transfusion, Released, English,104580000.0,260353036.4,AU
